,id,frtstGrupp,lefstalklt,frtstSetCo,pllnLt,flanGrupp,frtstCo,flanJnt,tcdmt,frmhsFclu,hvstGrupp,hvstJnt,frmYear_x,frmMonth_x,grwtLt,fcluHg,frmhsId_x,lefLt,flwrCo,hvstCo,frmWeek,lefCunt,frtstJnt,lefBt,stemThck,frmYear_y,frmMonth_y,frmAr,frmhsId_y,outtrn
33,81,17.373333333333303,0.0,0.0,0.0,18.0266666666667,22.9166666666667,0.0,0.0,18.5833333333333,10.985833333333302,0.0,2018,3,16.9333333333333,18.6666666666667,81,35.008333333333304,0.0,0.0,12,14.833333333333302,0.0,29.7,8.46083333333333,2018,3,2700.0,81,5353.0
34,81,18.18,0.0,0.0,0.0,18.678333333333303,21.25,0.0,0.0,19.5833333333333,11.3525,0.0,2018,3,13.791666666666698,20.7083333333333,81,35.425,0.0,0.0,13,15.25,0.0,33.7666666666667,7.35083333333333,2018,3,2700.0,81,8071.0
35,81,18.795,0.0,0.0,0.0,19.35,21.75,0.0,0.0,19.9166666666667,11.935833333333301,0.0,2018,4,15.958333333333302,16.075,81,34.5583333333333,0.0,0.0,14,14.75,0.0,30.7916666666667,7.61083333333333,2018,4,2700.0,81,6977.0
36,81,19.2366666666667,0.0,0.0,0.0,19.8825,22.5,0.0,0.0,20.5,12.911666666666699,0.0,2018,4,15.4,14.075,81,33.1083333333333,0.0,0.0,15,15.75,0.0,27.1,6.465,2018,4,2700.0,81,7375.0
37,81,19.788333333333302,0.0,0.0,0.0,20.553333333333303,21.0833333333333,0.0,0.0,21.25,13.728333333333302,0.0,2018,4,10.7166666666667,13.075,81,32.5,0.0,0.0,16,16.0,0.0,27.466666666666697,11.845833333333301,2018,4,2700.0,81,6872.0
38,81,20.663333333333302,0.0,0.0,0.0,21.2808333333333,20.8333333333333,0.0,0.0,22.0,14.6966666666667,0.0,2018,4,15.516666666666698,11.458333333333302,81,31.275,0.0,0.0,17,16.3333333333333,0.0,25.8083333333333,6.39583333333333,2018,4,2700.0,81,6903.0
39,81,21.2233333333333,0.0,0.0,0.0,21.579166666666698,20.0833333333333,0.0,0.0,22.4166666666667,15.338333333333301,0.0,2018,5,12.158333333333301,16.783333333333303,81,30.85,0.0,0.0,18,16.1666666666667,0.0,26.3333333333333,6.18416666666667,2018,5,2700.0,81,6518.0
40,81,21.6566666666667,0.0,0.0,0.0,22.3825,18.1666666666667,0.0,0.0,23.0833333333333,16.065833333333302,0.0,2018,5,18.091666666666697,11.766666666666698,81,31.608333333333302,0.0,0.0,19,16.0833333333333,0.0,23.8083333333333,5.10666666666667,2018,5,2700.0,81,11373.0
41,81,21.965,0.0,0.0,0.0,23.0175,15.0,0.0,0.0,23.8333333333333,17.165833333333303,0.0,2018,5,11.483333333333302,8.95,81,30.7583333333333,0.0,0.0,20,18.5833333333333,0.0,24.7416666666667,6.46333333333333,2018,5,2700.0,81,10238.0
42,81,22.4,0.0,0.0,0.0,23.5208333333333,13.25,0.0,0.0,24.25,17.961666666666698,0.0,2018,5,12.658333333333301,7.16666666666667,81,26.3833333333333,0.0,0.0,21,17.0,0.0,19.2083333333333,8.485,2018,5,2700.0,81,11736.0
