,ec,ph,cunt,otmsuplyqy,id,measDtStr
1217,2.441346201,5.961858992000001,12.0,66.3006993,9,20180319230000
1241,2.3750000190000002,5.931428593,35.5,66.97350292,9,20180320230000
1265,2.462500036,5.8975000379999996,17.0,63.92156863,9,20180321230000
1278,2.130703917,5.953378347,82.5,53.63266608,9,20180524230000
1309,2.5583333269999997,5.629166682999999,3.0,155.72222219999998,9,20171226230000
1315,2.365086136,5.762766952000001,53.0,66.40566038,9,20180313230000
1339,2.355059068,5.7271443170000005,53.5,66.28464943,9,20180314230000
1363,2.534999987,5.409999997999999,5.0,66.66666667,9,20180315230000
1387,2.439444439,5.74487925,39.0,65.8042328,9,20180316230000
1437,2.641983672,5.668614101,16.5,62.99498747,9,20180308230000
1461,2.636782584,5.7619130720000005,20.0,65.76851852,9,20180309230000
1485,2.476923093,5.853076975,53.0,66.97484277,9,20180310230000
1509,2.369602284,5.820000022,55.5,61.82989805,9,20180311230000
1533,2.378596513,5.7990789760000006,49.0,66.22655486,9,20180312230000
1559,2.645354122,5.829570263,49.0,68.1886845,9,20180303230000
1583,2.527873564,5.855611947000001,42.0,65.76063528,9,20180304230000
1607,2.574430743,5.739373833999999,26.0,64.78670635,9,20180305230000
1631,2.4546167359999997,5.873548217000001,34.5,64.13640203,9,20180306230000
1655,2.632857122,5.864285768999999,28.0,66.67307692,9,20180307230000
1669,2.766964287,5.547321413,7.0,147.90476189999998,9,20171225230000
1684,2.770454557,5.695632776,28.5,76.0,9,20180220230000
1708,2.7535064910000004,5.702337657999999,29.0,76.0,9,20180221230000
1732,2.757696488,5.693116524,36.5,75.11666667,9,20180222230000
1756,2.7510256539999998,5.683846095,23.5,74.58666667,9,20180223230000
1780,2.744166654,5.758333348,26.5,74.73809524,9,20180224230000
1801,2.112596517,5.859254319,85.0,56.42327654,9,20180523230000
1806,2.7294871689999995,5.6833333239999995,31.5,70.16666667,9,20180215230000
1830,2.734801563,5.702777772,28.5,69.10277778,9,20180216230000
1854,2.7510869560000004,5.7423913010000005,37.0,70.16666667,9,20180217230000
1878,2.760879638,5.702430549,24.0,70.16666667,9,20180218230000
1902,2.7569602410000003,5.643134458,26.5,76.0,9,20180219230000
1952,2.7723077060000003,5.598,20.5,81.83333333,9,20180211230000
1976,2.7329166610000004,5.7256249839999995,13.5,81.83333333,9,20180212230000
2000,2.739732137,5.713526774,28.0,79.32628205,9,20180213230000
2024,2.735185188,5.707777774,22.5,80.23386034,9,20180214230000
