,id,frtstGrupp,flanGrupp,frtstCo,frmhsFclu,hvstGrupp,grwtLt,fcluHg,lefLt,hvstCo,frmWeek,lefCunt,lefBt,stemThck,outtrn,ec,ph,cunt,otmsuplyqy
56,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.555945926,5.883320502,28.0,70.23818646
57,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.8558823639999997,5.5985294020000005,24.0,82.02492754
58,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.865384625,5.530769182999999,11.5,87.75568182
59,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.844607874,5.690767982000001,27.5,85.37511052
60,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.8161764989999996,5.753584549,28.5,88.06311576
61,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.597999988,5.848000031000001,19.5,86.3995098
62,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,2.848397472,5.499038463,11.0,88.08333333
63,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.5605262890000002,5.7973684510000005,17.0,119.05146200000001
64,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.366666714,5.76444442,14.5,140.9599359
65,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.390625048,5.773660736,13.0,174.87896830000003
66,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.571064796,5.866666691,22.5,87.36210318
67,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.62499994,5.458333372999999,2.0,163.70833330000002
68,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.665000027,5.629999924,4.5,125.13333329999999
69,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.595404377,5.77573532,13.0,123.8782051
70,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,3.062785718,5.813142908,23.0,86.52536232
71,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,3.0674718,5.797504025,22.5,86.28903162
72,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,2.908289125,5.869694999,22.0,88.08333333
