,hvstGrupp,hvstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
2932,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.604545455,5.872727273,22.0,50.57064148
2933,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.590909091,5.872727273,22.0,52.66955267
2934,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.595454546,5.881818182000001,22.0,52.73514364
2935,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.517391304,5.917391304,23.0,53.39105339
2936,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.53,5.89,20.0,51.22655123
2937,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.495,5.905,21.0,50.19583591
2938,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.631818182,5.890909091,22.0,52.66955267
2939,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.583333333,5.8833333329999995,6.0,52.66955267
2940,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.633333333,5.8666666670000005,3.0,52.66955267
2941,12.12,2.0,16.1666666666667,23.725,40.725,17,11.25,39.2,11.5,2.616666667,5.8833333329999995,6.0,52.66955267
2942,13.625,3.5,14.575,27.425,42.125,18,10.75,33.85,7.8625,2.46,5.9,5.0,53.39105339
2943,13.625,3.5,14.575,27.425,42.125,18,10.75,33.85,7.8625,2.4,5.9,1.0,54.11255411
2944,13.625,3.5,14.575,27.425,42.125,18,10.75,33.85,7.8625,2.528571429,6.242857142999999,24.0,54.11255411
2945,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.407692308,5.8,13.0,55.33355533
2946,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.4,6.125,5.0,54.25685426
2947,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.434782609,5.826086957,23.0,54.11255411
2948,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.440909091,5.8636363639999995,24.0,51.22655123
2949,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.45,5.868181817999999,22.0,51.22655123
2950,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.433333333,5.85,6.0,51.22655123
2951,15.0,1.5,20.266666666666698,18.975,40.875,19,12.5,35.4,7.28,2.483333333,5.8666666670000005,19.0,50.27720817
2952,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.504166667,5.8666666670000005,24.0,51.22655123
2953,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.490909091,5.872727273,22.0,49.94752722
2954,15.5,2.25,19.1,17.175,40.4,20,10.25,31.125,6.975,2.416666667,5.8833333329999995,6.0,52.66955267
