,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
1195,0.0,0.0,2,0.0,0.0,0.0,2.8,5.8,7.0,78.57142857
1196,0.0,0.0,2,0.0,0.0,0.0,2.8,5.7,6.0,78.33333333
1197,0.0,0.0,2,0.0,0.0,0.0,2.8,5.7,1.0,100.0
1198,0.0,0.0,2,0.0,0.0,0.0,2.7,5.5,4.0,120.0
1199,0.0,0.0,2,0.0,0.0,0.0,2.8,5.5,5.0,112.0
1200,0.0,0.0,2,0.0,0.0,0.0,2.8,5.7,7.0,94.28571429
1201,0.0,0.0,2,0.0,0.0,0.0,2.8,5.7,7.0,85.71428571
1342,0.0,0.0,1,0.0,0.0,0.0,2.598333334,5.615,5.5,69.115
1343,0.0,0.0,1,0.0,0.0,0.0,2.6,5.625,2.0,112.0
1344,0.0,0.0,1,0.0,0.0,0.0,2.58,5.56,5.0,75.4
1345,0.0,0.0,1,0.0,0.0,0.0,2.575,5.6125,4.0,75.0
1346,0.0,0.0,1,0.0,0.0,0.0,2.58,5.62,5.0,75.4
1347,0.0,0.0,1,0.0,0.0,0.0,2.516666667,5.625,6.0,75.67
1348,0.0,0.0,1,0.0,0.0,0.0,2.541666667,5.641666667000001,2.5,64.165
1349,0.0,0.0,2,0.0,0.0,0.0,2.55,5.65,1.0,77.0
1350,0.0,0.0,2,0.0,0.0,0.0,2.55,5.65,3.0,77.0
1351,0.0,0.0,2,0.0,0.0,0.0,2.54,5.63,5.0,75.4
1352,0.0,0.0,2,0.0,0.0,0.0,2.53,5.6225,4.5,69.075
1353,0.0,0.0,2,0.0,0.0,0.0,2.57,5.63,5.0,129.8
1354,0.0,0.0,2,0.0,0.0,0.0,2.5,5.642857143,7.0,92.71
1355,0.0,0.0,2,0.0,0.0,0.0,2.72,5.73,5.0,109.5
1522,0.0,0.0,30,0.0,0.0,0.0,1.861904762,5.723809524,21.0,16.1
1523,0.0,0.0,30,0.0,0.0,0.0,1.402976191,6.055952381,9.5,37.89
1524,0.0,0.0,30,0.0,0.0,0.0,1.095,6.18,10.0,34.7
1525,0.0,0.0,30,0.0,0.0,0.0,1.083333334,6.15,3.0,28.0
1526,0.0,0.0,30,0.0,0.0,0.0,1.288888889,6.1166666670000005,9.0,43.89
1527,0.0,0.0,31,0.0,0.0,0.0,1.3,6.072916667,5.5,36.69
1528,0.0,0.0,31,0.0,0.0,0.0,1.342857143,6.328571429,7.0,16.29
1655,0.0,0.0,21,0.0,0.0,0.0,2.755,5.845,25.0,26.51515152
1656,0.0,0.0,21,0.0,0.0,0.0,2.765,5.84,20.0,26.51515152
1657,0.0,0.0,21,0.0,0.0,0.0,2.68,5.955,29.0,28.40909091
1658,0.0,0.0,21,0.0,0.0,0.0,2.73,5.89,28.0,11.32981602
1659,0.0,0.0,21,0.0,0.0,0.0,2.78,6.165,21.0,12.53607504
1660,0.0,0.0,21,0.0,0.0,0.0,2.885,5.865,31.0,13.0742913
1661,0.0,0.0,21,0.0,0.0,0.0,2.83,5.88,16.0,28.40909091
1662,0.0,0.0,22,0.0,0.0,0.0,2.855,6.11,25.0,28.40909091
1663,0.0,0.0,22,0.0,0.0,0.0,2.71,6.12,27.0,11.22334456
1664,0.0,0.0,22,0.0,0.0,0.0,2.77,6.21,14.0,28.40909091
1665,0.0,0.0,22,0.0,0.0,0.0,2.625,6.245,25.0,28.40909091
1666,0.0,0.0,22,0.0,0.0,0.0,2.625,6.26,24.0,28.40909091
1667,0.0,0.0,22,0.0,0.0,0.0,2.595,6.345,23.0,28.40909091
1668,0.0,0.0,22,0.0,0.0,0.0,2.605,6.355,21.0,28.40909091
1669,0.0,0.0,23,0.0,0.0,0.0,2.67,6.29,18.0,28.40909091
1670,0.0,0.0,34,0.0,0.0,0.0,2.4978549930000002,6.0,5.0,99.8
1671,0.0,0.0,34,0.0,0.0,0.0,2.498699809,6.0,8.5,62.91458333
1672,0.0,0.0,34,0.0,0.0,0.0,2.350283768,6.0,4.0,99.75
1673,0.0,0.0,34,0.0,0.0,0.0,2.3,6.0,3.0,99.66666667
1674,0.0,0.0,34,0.0,0.0,0.0,2.3,6.0,8.0,99.875
1675,0.0,0.0,34,0.0,0.0,0.0,2.3,6.0,2.25,80.125
1676,0.0,0.0,35,0.0,0.0,0.0,2.6766375069999997,5.704893384,4.0,99.75
1677,0.0,0.0,35,0.0,0.0,0.0,2.8,5.5,6.0,99.83333333
